key,code,name,size,subsize,joint,sch,outdia,india,thick,degree,radius,rating,span,short_span,flange_type,valve_type,remark
10000,astm,pipe,0.5,,,5,21.3,18,1.65,,,,,,,,
10001,astm,pipe,0.5,,,10,21.3,17.08,2.11,,,,,,,,
10002,astm,pipe,0.5,,,40,21.3,15.76,2.77,,,,,,,,
10003,astm,pipe,0.5,,,80,21.3,13.84,3.73,,,,,,,,
10004,astm,pipe,0.5,,,160,21.3,11.74,4.78,,,,,,,,
10005,astm,pipe,0.5,,,10s,21.3,17.08,2.11,,,,,,,,
10006,astm,pipe,0.5,,,40s,21.3,15.76,2.77,,,,,,,,
10007,astm,pipe,0.5,,,5s,21.3,18,1.65,,,,,,,,
10008,astm,pipe,0.5,,,80s,21.3,13.84,3.73,,,,,,,,
10009,astm,pipe,0.5,,,std,21.3,15.76,2.77,,,,,,,,
10010,astm,pipe,0.5,,,xs,21.3,13.84,3.73,,,,,,,,
10011,astm,pipe,0.5,,,xxs,21.3,6.36,7.47,,,,,,,,
10012,astm,pipe,0.75,,,5,26.7,23.4,1.65,,,,,,,,
10013,astm,pipe,0.75,,,10,26.7,22.48,2.11,,,,,,,,
10014,astm,pipe,0.75,,,30,26.7,21.88,2.41,,,,,,,,
10015,astm,pipe,0.75,,,40,26.7,20.96,2.87,,,,,,,,
10016,astm,pipe,0.75,,,80,26.7,18.88,3.91,,,,,,,,
10017,astm,pipe,0.75,,,160,26.7,15.58,5.56,,,,,,,,
10018,astm,pipe,0.75,,,10s,26.7,22.48,2.11,,,,,,,,
10019,astm,pipe,0.75,,,40s,26.7,20.96,2.87,,,,,,,,
10020,astm,pipe,0.75,,,5s,26.7,23.4,1.65,,,,,,,,
10021,astm,pipe,0.75,,,80s,26.7,18.88,3.91,,,,,,,,
10022,astm,pipe,0.75,,,std,26.7,20.96,2.87,,,,,,,,
10023,astm,pipe,0.75,,,xs,26.7,18.88,3.91,,,,,,,,
10024,astm,pipe,0.75,,,xxs,26.7,11.06,7.82,,,,,,,,
10025,astm,pipe,1,,,5,33.4,30.1,1.65,,,,,,,,
10026,astm,pipe,1,,,10,33.4,27.86,2.77,,,,,,,,
10027,astm,pipe,1,,,30,33.4,27.6,2.9,,,,,,,,
10028,astm,pipe,1,,,40,33.4,26.64,3.38,,,,,,,,
10029,astm,pipe,1,,,80,33.4,24.3,4.55,,,,,,,,
10030,astm,pipe,1,,,160,33.4,20.7,6.35,,,,,,,,
10031,astm,pipe,1,,,10s,33.4,27.86,2.77,,,,,,,,
10032,astm,pipe,1,,,40s,33.4,26.64,3.38,,,,,,,,
10033,astm,pipe,1,,,5s,33.4,30.1,1.65,,,,,,,,
10034,astm,pipe,1,,,80s,33.4,24.3,4.55,,,,,,,,
10035,astm,pipe,1,,,std,33.4,26.64,3.38,,,,,,,,
10036,astm,pipe,1,,,xs,33.4,24.3,4.55,,,,,,,,
10037,astm,pipe,1,,,xxs,33.4,15.22,9.09,,,,,,,,
10038,astm,pipe,1.25,,,5,42.2,38.9,1.65,,,,,,,,
10039,astm,pipe,1.25,,,10,42.2,36.66,2.77,,,,,,,,
10040,astm,pipe,1.25,,,30,42.2,36.26,2.97,,,,,,,,
10041,astm,pipe,1.25,,,40,42.2,35.08,3.56,,,,,,,,
10042,astm,pipe,1.25,,,80,42.2,32.5,4.85,,,,,,,,
10043,astm,pipe,1.25,,,160,42.2,29.5,6.35,,,,,,,,
10044,astm,pipe,1.25,,,10s,42.2,36.66,2.77,,,,,,,,
10045,astm,pipe,1.25,,,40s,42.2,35.08,3.56,,,,,,,,
10046,astm,pipe,1.25,,,5s,42.2,38.9,1.65,,,,,,,,
10047,astm,pipe,1.25,,,80s,42.2,32.5,4.85,,,,,,,,
10048,astm,pipe,1.25,,,std,42.2,35.08,3.56,,,,,,,,
10049,astm,pipe,1.25,,,xs,42.2,32.5,4.85,,,,,,,,
10050,astm,pipe,1.25,,,xxs,42.2,22.8,9.7,,,,,,,,
10051,astm,pipe,1.5,,,5,48.3,45,1.65,,,,,,,,
10052,astm,pipe,1.5,,,10,48.3,42.76,2.77,,,,,,,,
10053,astm,pipe,1.5,,,30,48.3,41.94,3.18,,,,,,,,
10054,astm,pipe,1.5,,,40,48.3,40.94,3.68,,,,,,,,
10055,astm,pipe,1.5,,,80,48.3,38.14,5.08,,,,,,,,
10056,astm,pipe,1.5,,,160,48.3,34.02,7.14,,,,,,,,
10057,astm,pipe,1.5,,,10s,48.3,42.76,2.77,,,,,,,,
10058,astm,pipe,1.5,,,40s,48.3,40.94,3.68,,,,,,,,
10059,astm,pipe,1.5,,,5s,48.3,45,1.65,,,,,,,,
10060,astm,pipe,1.5,,,80s,48.3,38.14,5.08,,,,,,,,
10061,astm,pipe,1.5,,,std,48.3,40.94,3.68,,,,,,,,
10062,astm,pipe,1.5,,,xs,48.3,38.14,5.08,,,,,,,,
10063,astm,pipe,1.5,,,xxs,48.3,28,10.15,,,,,,,,
10064,astm,pipe,2,,,5,60.3,57,1.65,,,,,,,,
10065,astm,pipe,2,,,10,60.3,54.76,2.77,,,,,,,,
10066,astm,pipe,2,,,30,60.3,53.94,3.18,,,,,,,,
10067,astm,pipe,2,,,40,60.3,52.48,3.91,,,,,,,,
10068,astm,pipe,2,,,80,60.3,49.22,5.54,,,,,,,,
10069,astm,pipe,2,,,160,60.3,42.82,8.74,,,,,,,,
10070,astm,pipe,2,,,10s,60.3,54.76,2.77,,,,,,,,
10071,astm,pipe,2,,,40s,60.3,52.48,3.91,,,,,,,,
10072,astm,pipe,2,,,5s,60.3,57,1.65,,,,,,,,
10073,astm,pipe,2,,,80s,60.3,49.22,5.54,,,,,,,,
10074,astm,pipe,2,,,std,60.3,52.48,3.91,,,,,,,,
10075,astm,pipe,2,,,xs,60.3,49.22,5.54,,,,,,,,
10076,astm,pipe,2,,,xxs,60.3,38.16,11.07,,,,,,,,
10077,astm,pipe,2.5,,,5,73,68.78,2.11,,,,,,,,
10078,astm,pipe,2.5,,,10,73,66.9,3.05,,,,,,,,
10079,astm,pipe,2.5,,,30,73,63.44,4.78,,,,,,,,
10080,astm,pipe,2.5,,,40,73,62.68,5.16,,,,,,,,
10081,astm,pipe,2.5,,,80,73,58.98,7.01,,,,,,,,
10082,astm,pipe,2.5,,,160,73,53.94,9.53,,,,,,,,
10083,astm,pipe,2.5,,,10s,73,66.9,3.05,,,,,,,,
10084,astm,pipe,2.5,,,40s,73,62.68,5.16,,,,,,,,
10085,astm,pipe,2.5,,,5s,73,68.78,2.11,,,,,,,,
10086,astm,pipe,2.5,,,80s,73,58.98,7.01,,,,,,,,
10087,astm,pipe,2.5,,,std,73,62.68,5.16,,,,,,,,
10088,astm,pipe,2.5,,,xs,73,58.98,7.01,,,,,,,,
10089,astm,pipe,2.5,,,xxs,73,44.96,14.02,,,,,,,,
10090,astm,pipe,3,,,5,88.9,84.68,2.11,,,,,,,,
10091,astm,pipe,3,,,10,88.9,82.8,3.05,,,,,,,,
10092,astm,pipe,3,,,30,88.9,79.34,4.78,,,,,,,,
10093,astm,pipe,3,,,40,88.9,77.92,5.49,,,,,,,,
10094,astm,pipe,3,,,80,88.9,73.66,7.62,,,,,,,,
10095,astm,pipe,3,,,160,88.9,66.64,11.13,,,,,,,,
10096,astm,pipe,3,,,10s,88.9,82.8,3.05,,,,,,,,
10097,astm,pipe,3,,,40s,88.9,77.92,5.49,,,,,,,,
10098,astm,pipe,3,,,5s,88.9,84.68,2.11,,,,,,,,
10099,astm,pipe,3,,,80s,88.9,73.66,7.62,,,,,,,,
10100,astm,pipe,3,,,std,88.9,77.92,5.49,,,,,,,,
10101,astm,pipe,3,,,xs,88.9,73.66,7.62,,,,,,,,
10102,astm,pipe,3,,,xxs,88.9,58.42,15.24,,,,,,,,
10103,astm,pipe,3.5,,,5,101.6,97.38,2.11,,,,,,,,
10104,astm,pipe,3.5,,,10,101.6,95.5,3.05,,,,,,,,
10105,astm,pipe,3.5,,,30,101.6,92.04,4.78,,,,,,,,
10106,astm,pipe,3.5,,,40,101.6,90.12,5.74,,,,,,,,
10107,astm,pipe,3.5,,,80,101.6,85.44,8.08,,,,,,,,
10108,astm,pipe,3.5,,,10s,101.6,95.5,3.05,,,,,,,,
10109,astm,pipe,3.5,,,40s,101.6,90.12,5.74,,,,,,,,
10110,astm,pipe,3.5,,,5s,101.6,97.38,2.11,,,,,,,,
10111,astm,pipe,3.5,,,80s,101.6,85.44,8.08,,,,,,,,
10112,astm,pipe,3.5,,,std,101.6,90.12,5.74,,,,,,,,
10113,astm,pipe,3.5,,,xs,101.6,85.44,8.08,,,,,,,,
10114,astm,pipe,4,,,5,101.6,97.38,2.11,,,,,,,,
10115,astm,pipe,4,,,10,101.6,95.5,3.05,,,,,,,,
10116,astm,pipe,4,,,30,101.6,92.04,4.78,,,,,,,,
10117,astm,pipe,4,,,40,101.6,89.56,6.02,,,,,,,,
10118,astm,pipe,4,,,80,101.6,84.48,8.56,,,,,,,,
10119,astm,pipe,4,,,120,101.6,79.34,11.13,,,,,,,,
10120,astm,pipe,4,,,160,101.6,74.62,13.49,,,,,,,,
